Invested In,Sector,Market Value Latest Price,"Value as of <br> 31 Dec, 2023",% of Total Holding,Quantity,Month Change <br> in Shares,Month Change <br> in Shares %,History ,fundname
Mrs Bectors Food Specialities Ltd Ordinary Shares,Consumer Defensive,2284044352.9,2158364960,1.16,1930559,,,/mutual-fund/holding-history/17696/369403/,Axis Small Cap Fund Dir Gr
PB Fintech Ltd,Financial Services,2153213097.0,1926533570,1.03,2424380,,,/mutual-fund/holding-history/17696/710819/,Axis Small Cap Fund Dir Gr
Carborundum Universal Ltd,Industrials,1897385391.0,1837798080,0.99,1650618,,,/mutual-fund/holding-history/17696/238/,Axis Small Cap Fund Dir Gr
Neogen Chemicals Ltd,Basic Materials,1710899864.1,1802418210,0.97,1217809,,,/mutual-fund/holding-history/17696/141845/,Axis Small Cap Fund Dir Gr
Sundaram Finance Ltd,Financial Services,1716632694.4,1697568140,0.91,483872,,,/mutual-fund/holding-history/17696/1311/,Axis Small Cap Fund Dir Gr
JK Cement Ltd,Basic Materials,1785181384.35,1622746130,0.87,428363,,,/mutual-fund/holding-history/17696/683/,Axis Small Cap Fund Dir Gr
Orient Electric Ltd Ordinary Shares,Consumer Cyclical,1413528685.4,1527984450,0.82,6732692,,,/mutual-fund/holding-history/17696/94299/,Axis Small Cap Fund Dir Gr
Data Patterns (India) Ltd,Industrials,1450910413.4,1453291960,0.78,780836,,,/mutual-fund/holding-history/17696/755079/,Axis Small Cap Fund Dir Gr
Jyothy Labs Ltd,Consumer Defensive,1532596981.8,1342774780,0.72,2803873,697664.0,33.12,/mutual-fund/holding-history/17696/706/,Axis Small Cap Fund Dir Gr
Sudarshan Chemical Industries Ltd,Basic Materials,1282947647.2,1339937710,0.72,2440688,,,/mutual-fund/holding-history/17696/1304/,Axis Small Cap Fund Dir Gr
PNC Infratech Ltd,Industrials,1578388664.0,1337330510,0.72,3805180,,,/mutual-fund/holding-history/17696/1717/,Axis Small Cap Fund Dir Gr
Sona BLW Precision Forgings Ltd,Consumer Cyclical,1164985807.2,1282598830,0.69,1990068,,,/mutual-fund/holding-history/17696/547977/,Axis Small Cap Fund Dir Gr
R R Kabel Ltd,Industrials,1149270390.2,1230975050,0.66,783362,765737.0,4344.61,/mutual-fund/holding-history/17696/1681351/,Axis Small Cap Fund Dir Gr
BSE Ltd,Financial Services,1148499071.65,1202217840,0.65,541247,,,/mutual-fund/holding-history/17696/52884/,Axis Small Cap Fund Dir Gr
Sansera Engineering Ltd,Industrials,1185963004.8,1176437890,0.63,1154559,,,/mutual-fund/holding-history/17696/658068/,Axis Small Cap Fund Dir Gr
HeidelbergCement India Ltd,Basic Materials,1135667457.0,1172968560,0.63,5040690,,,/mutual-fund/holding-history/17696/536/,Axis Small Cap Fund Dir Gr
MAS Financial Services Ltd Ordinary Shares,Financial Services,1196976374.1,1057836920,0.57,1216254,,,/mutual-fund/holding-history/17696/62997/,Axis Small Cap Fund Dir Gr
Tata Elxsi Ltd,Technology,923960579.35,1054869510,0.57,120509,,,/mutual-fund/holding-history/17696/1358/,Axis Small Cap Fund Dir Gr
Deepak Fertilisers & Petrochemicals Corp Ltd,Basic Materials,975339919.0,1039607690,0.56,1530185,,,/mutual-fund/holding-history/17696/317/,Axis Small Cap Fund Dir Gr
UNO Minda Ltd,Consumer Cyclical,1026116220.15,1031365660,0.55,1499841,,,/mutual-fund/holding-history/17696/864/,Axis Small Cap Fund Dir Gr
KNR Constructions Ltd,Industrials,1019273631.4,993322150,0.53,3873356,,,/mutual-fund/holding-history/17696/752/,Axis Small Cap Fund Dir Gr
Apar Industries Ltd,Industrials,853523707.5,945238410,0.51,156150,156150.0,New,/mutual-fund/holding-history/17696/88/,Axis Small Cap Fund Dir Gr
Ipca Laboratories Ltd,Healthcare,946829654.4,944877340,0.51,848832,,,/mutual-fund/holding-history/17696/642/,Axis Small Cap Fund Dir Gr
Multi Commodity Exchange of India Ltd,Financial Services,950678675.1,944406930,0.51,295141,,,/mutual-fund/holding-history/17696/853/,Axis Small Cap Fund Dir Gr
Global Health Ltd,Healthcare,1076952935.0,932694720,0.5,972418,,,/mutual-fund/holding-history/17696/1108489/,Axis Small Cap Fund Dir Gr
Rainbow Childrens Medicare Ltd,Healthcare,937803162.0,919347630,0.49,770586,62497.0,8.83,/mutual-fund/holding-history/17696/877862/,Axis Small Cap Fund Dir Gr
Fortis Healthcare Ltd,Healthcare,922137933.85,898663770,0.48,2143759,580347.0,37.12,/mutual-fund/holding-history/17696/424/,Axis Small Cap Fund Dir Gr
Vijaya Diagnostic Centre Ltd,Healthcare,852333840.0,888768480,0.48,1315330,52546.0,4.16,/mutual-fund/holding-history/17696/644314/,Axis Small Cap Fund Dir Gr
Alicon Castalloy Ltd,Industrials,998877820.15,879109630,0.47,1011983,,,/mutual-fund/holding-history/17696/56/,Axis Small Cap Fund Dir Gr
Balrampur Chini Mills Ltd,Consumer Defensive,805847641.5,853024280,0.46,2078266,,,/mutual-fund/holding-history/17696/157/,Axis Small Cap Fund Dir Gr
SJS Enterprises Ltd,Consumer Cyclical,787569301.8,852304800,0.46,1377351,,,/mutual-fund/holding-history/17696/710818/,Axis Small Cap Fund Dir Gr
Go Fashion (India) Ltd,Consumer Cyclical,747929835.9,838836770,0.45,670158,,,/mutual-fund/holding-history/17696/728986/,Axis Small Cap Fund Dir Gr
SRF Ltd,Basic Materials,709471416.6,775246600,0.42,312694,,,/mutual-fund/holding-history/17696/1283/,Axis Small Cap Fund Dir Gr
JM Financial Ltd,Financial Services,833485690.8,722501260,0.39,7349962,,,/mutual-fund/holding-history/17696/689/,Axis Small Cap Fund Dir Gr
Navin Fluorine International Ltd,Basic Materials,617293559.85,711173560,0.38,184567,,,/mutual-fund/holding-history/17696/914/,Axis Small Cap Fund Dir Gr
Computer Age Management Services Ltd Ordinary Shares,Technology,724834984.0,699558630,0.38,263845,144000.0,120.16,/mutual-fund/holding-history/17696/297909/,Axis Small Cap Fund Dir Gr
Cholamandalam Investment and Finance Co Ltd,Financial Services,689049738.9,697408900,0.37,553587,,,/mutual-fund/holding-history/17696/262/,Axis Small Cap Fund Dir Gr
Laurus Labs Ltd,Healthcare,602283287.6,684008110,0.37,1589977,,,/mutual-fund/holding-history/17696/4984/,Axis Small Cap Fund Dir Gr
Bharat Dynamics Ltd Ordinary Shares,Industrials,642911383.8,659590370,0.35,385196,271937.0,240.1,/mutual-fund/holding-history/17696/80210/,Axis Small Cap Fund Dir Gr
Jamna Auto Industries Ltd,Consumer Cyclical,653840443.55,658260280,0.35,5893109,,,/mutual-fund/holding-history/17696/660/,Axis Small Cap Fund Dir Gr
Suven Pharmaceuticals Ltd,Healthcare,605156515.2,641735810,0.34,887847,398166.0,81.31,/mutual-fund/holding-history/17696/191143/,Axis Small Cap Fund Dir Gr
VST Industries Ltd,Consumer Defensive,603204524.0,587637120,0.32,172492,,,/mutual-fund/holding-history/17696/1502/,Axis Small Cap Fund Dir Gr
Mahindra & Mahindra Financial Services Ltd,Financial Services,567181275.75,580933030,0.31,2099505,,,/mutual-fund/holding-history/17696/808/,Axis Small Cap Fund Dir Gr
India Shelter Finance Corporation Ltd,Financial Services,570975519.85,563738570,0.3,991363,991363.0,New,/mutual-fund/holding-history/17696/1826519/,Axis Small Cap Fund Dir Gr
Timken India Ltd,Industrials,570410814.3,562122320,0.3,172857,,,/mutual-fund/holding-history/17696/1399/,Axis Small Cap Fund Dir Gr
Container Corporation of India Ltd,Industrials,527929600.4,547679580,0.29,637096,,,/mutual-fund/holding-history/17696/279/,Axis Small Cap Fund Dir Gr
Vedant Fashions Ltd,Consumer Cyclical,461270500.0,519839000,0.28,410000,,,/mutual-fund/holding-history/17696/816269/,Axis Small Cap Fund Dir Gr
Aether Industries Ltd,Basic Materials,496024207.0,519471560,0.28,585452,,,/mutual-fund/holding-history/17696/903803/,Axis Small Cap Fund Dir Gr
Suryoday Small Finance Bank Ltd,Financial Services,456139756.8,436089660,0.23,2784736,,,/mutual-fund/holding-history/17696/447586/,Axis Small Cap Fund Dir Gr
Ramco Cements Ltd,Basic Materials,386544991.05,407092100,0.22,398973,,,/mutual-fund/holding-history/17696/1103/,Axis Small Cap Fund Dir Gr
EPL Ltd Ordinary Shares,Consumer Cyclical,349353067.8,355874800,0.19,1762629,,,/mutual-fund/holding-history/17696/393/,Axis Small Cap Fund Dir Gr
LTIMindtree Ltd,Technology,291507666.45,333965980,0.18,53053,,,/mutual-fund/holding-history/17696/4596/,Axis Small Cap Fund Dir Gr
Mahindra Lifespace Developers Ltd,Real Estate,340201960.4,332463150,0.18,611764,611764.0,New,/mutual-fund/holding-history/17696/818/,Axis Small Cap Fund Dir Gr
ICICI Securities Ltd,Financial Services,357122138.0,330366160,0.18,460120,,,/mutual-fund/holding-history/17696/81109/,Axis Small Cap Fund Dir Gr
KEI Industries Ltd,Industrials,316301076.0,322904350,0.17,99372,99372.0,New,/mutual-fund/holding-history/17696/729/,Axis Small Cap Fund Dir Gr
KFin Technologies Ltd,Technology,359808798.35,321420760,0.17,665881,,,/mutual-fund/holding-history/17696/1253626/,Axis Small Cap Fund Dir Gr
Mphasis Ltd,Technology,277759120.8,301693050,0.16,110117,,,/mutual-fund/holding-history/17696/881/,Axis Small Cap Fund Dir Gr
TCNS Clothing Co Ltd,Consumer Cyclical,304754847.6,285660120,0.15,760746,,,/mutual-fund/holding-history/17696/97938/,Axis Small Cap Fund Dir Gr
TeamLease Services Ltd,Industrials,242698975.05,256045480,0.14,80063,,,/mutual-fund/holding-history/17696/1955/,Axis Small Cap Fund Dir Gr
Mankind Pharma Ltd,Healthcare,258861787.2,252754870,0.14,127493,,,/mutual-fund/holding-history/17696/1436676/,Axis Small Cap Fund Dir Gr
Honasa Consumer Ltd,Consumer Defensive,272299331.8,247025200,0.13,560402,,,/mutual-fund/holding-history/17696/1769048/,Axis Small Cap Fund Dir Gr
Jupiter Life Line Hospitals Ltd,Healthcare,220723732.35,227777110,0.12,208989,,,/mutual-fund/holding-history/17696/1665481/,Axis Small Cap Fund Dir Gr
Alembic Pharmaceuticals Ltd,Healthcare,230233407.9,185663430,0.1,244487,8835.0,3.75,/mutual-fund/holding-history/17696/92/,Axis Small Cap Fund Dir Gr
K.P.R. Mill Ltd,Consumer Cyclical,162856963.5,174606040,0.09,211695,,,/mutual-fund/holding-history/17696/764/,Axis Small Cap Fund Dir Gr
Aarti Pharmalabs Ltd,Healthcare,109681355.0,103660440,0.06,205492,,,/mutual-fund/holding-history/17696/1329646/,Axis Small Cap Fund Dir Gr
Tata Technologies Ltd,Technology,90314151.4,93123280,0.05,78908,,,/mutual-fund/holding-history/17696/1792699/,Axis Small Cap Fund Dir Gr
Motherson Sumi Wiring India Ltd,Consumer Cyclical,90739556.3,91930560,0.05,1488754,,,/mutual-fund/holding-history/17696/856676/,Axis Small Cap Fund Dir Gr
DOMS Industries Ltd,Industrials,88504104.65,76337570,0.04,61031,61031.0,New,/mutual-fund/holding-history/17696/1819409/,Axis Small Cap Fund Dir Gr
INOX India Ltd,Industrials,59970521.6,62007950,0.03,70256,70256.0,New,/mutual-fund/holding-history/17696/1830843/,Axis Small Cap Fund Dir Gr
Happy Forgings Ltd,Industrials,34875823.5,37025210,0.02,35973,35973.0,New,/mutual-fund/holding-history/17696/1833301/,Axis Small Cap Fund Dir Gr
SBFC Finance Ltd,Financial Services,25354949.0,25383340,0.01,283930,,,/mutual-fund/holding-history/17696/1578900/,Axis Small Cap Fund Dir Gr
Netweb Technologies India Ltd,Technology,26514801.9,20987570,0.01,17673,,,/mutual-fund/holding-history/17696/1544933/,Axis Small Cap Fund Dir Gr
V-Guard Industries Ltd,Industrials,18064493.0,18002910,0.01,61580,,,/mutual-fund/holding-history/17696/1476/,Axis Small Cap Fund Dir Gr
Suprajit Engineering Ltd,Consumer Cyclical,4470813.75,4645650,0.0,11427,,,/mutual-fund/holding-history/17696/1323/,Axis Small Cap Fund Dir Gr
Sundaram Fasteners Ltd,Consumer Cyclical,915814.2,900460,0.0,721,,,/mutual-fund/holding-history/17696/1313/,Axis Small Cap Fund Dir Gr
Tube Investments of India Ltd Ordinary Shares,Industrials,13030698536.1,11572550000,2.64,3267559,,,/mutual-fund/holding-history/10906/67548/,Nippon India Small Cap Dir Gr
HDFC Bank Ltd,Financial Services,6959265000.0,8289863000,1.89,4850000,,,/mutual-fund/holding-history/10906/533/,Nippon India Small Cap Dir Gr
KPIT Technologies Ltd,Technology,6227980000.0,6660940000,1.52,4400000,-356932.0,-7.5,/mutual-fund/holding-history/10906/141324/,Nippon India Small Cap Dir Gr
Apar Industries Ltd,Industrials,5903968061.8,6538374000,1.49,1080116,-40000.0,-3.57,/mutual-fund/holding-history/10906/88/,Nippon India Small Cap Dir Gr
Bharat Heavy Electricals Ltd,Industrials,7344713875.5,6464617000,1.48,33400245,-2922950.0,-8.05,/mutual-fund/holding-history/10906/189/,Nippon India Small Cap Dir Gr
Multi Commodity Exchange of India Ltd,Financial Services,5962288311.0,5922954000,1.35,1851010,,,/mutual-fund/holding-history/10906/853/,Nippon India Small Cap Dir Gr
Voltamp Transformers Ltd,Industrials,6266391416.0,5690658000,1.3,872720,,,/mutual-fund/holding-history/10906/1499/,Nippon India Small Cap Dir Gr
Cyient Ltd,Industrials,5002978017.15,5680479000,1.3,2477151,,,/mutual-fund/holding-history/10906/301/,Nippon India Small Cap Dir Gr
Karur Vysya Bank Ltd,Financial Services,5729077175.5,5368328000,1.23,31784062,,,/mutual-fund/holding-history/10906/721/,Nippon India Small Cap Dir Gr
ELANTAS Beck India Ltd,Basic Materials,5066661187.5,5220502000,1.19,614625,,,/mutual-fund/holding-history/10906/2035/,Nippon India Small Cap Dir Gr
CreditAccess Grameen Ltd Ordinary Shares,Financial Services,5176921275.4,5193675000,1.19,3253061,-140340.0,-4.14,/mutual-fund/holding-history/10906/100478/,Nippon India Small Cap Dir Gr
Larsen & Toubro Ltd,Industrials,5136409154.45,5039997000,1.15,1429381,,,/mutual-fund/holding-history/10906/800/,Nippon India Small Cap Dir Gr
Tejas Networks Ltd,Technology,4444963126.4,5012687000,1.14,5763697,,,/mutual-fund/holding-history/10906/54898/,Nippon India Small Cap Dir Gr
NIIT Learning Systems Ltd,Consumer Defensive,4857599084.0,5004920000,1.14,11420240,100000.0,0.88,/mutual-fund/holding-history/10906/1603230/,Nippon India Small Cap Dir Gr
InterGlobe Aviation Ltd,Industrials,4636546281.15,4805049000,1.1,1619443,,,/mutual-fund/holding-history/10906/1784/,Nippon India Small Cap Dir Gr
Jyothy Labs Ltd,Consumer Defensive,5274706398.0,4621399000,1.05,9650030,-200000.0,-2.03,/mutual-fund/holding-history/10906/706/,Nippon India Small Cap Dir Gr
Inox Wind Ltd,Industrials,4159327000.0,4427785000,1.01,8860000,-100000.0,-1.12,/mutual-fund/holding-history/10906/1627/,Nippon India Small Cap Dir Gr
eClerx Services Ltd,Technology,4272679389.6,4242802000,0.97,1637136,,,/mutual-fund/holding-history/10906/356/,Nippon India Small Cap Dir Gr
Ajanta Pharma Ltd,Healthcare,4387021027.2,4183436000,0.95,2007744,,,/mutual-fund/holding-history/10906/49/,Nippon India Small Cap Dir Gr
Hindustan Aeronautics Ltd Ordinary Shares,Industrials,4289133288.8,4141721000,0.95,1477076,-522924.0,-26.15,/mutual-fund/holding-history/10906/80502/,Nippon India Small Cap Dir Gr
NLC India Ltd,Utilities,3897169889.8,4119006000,0.94,16251751,,,/mutual-fund/holding-history/10906/935/,Nippon India Small Cap Dir Gr
Rategain Travel Technologies Ltd,Technology,4311329438.5,4092319000,0.93,5622862,,,/mutual-fund/holding-history/10906/747240/,Nippon India Small Cap Dir Gr
Pfizer Ltd,Healthcare,4066107340.5,4046580000,0.92,947910,,,/mutual-fund/holding-history/10906/1027/,Nippon India Small Cap Dir Gr
Ion Exchange (India) Ltd,Industrials,3938748000.0,4026117000,0.92,7161360,,,/mutual-fund/holding-history/10906/2050/,Nippon India Small Cap Dir Gr
Kirloskar Brothers Ltd,Industrials,3891597340.05,3876755000,0.88,4365469,,,/mutual-fund/holding-history/10906/744/,Nippon India Small Cap Dir Gr
Birla Corp Ltd,Basic Materials,3725635179.6,3847527000,0.88,2670132,,,/mutual-fund/holding-history/10906/198/,Nippon India Small Cap Dir Gr
Balrampur Chini Mills Ltd,Consumer Defensive,3602667453.0,3813578000,0.87,9291212,,,/mutual-fund/holding-history/10906/157/,Nippon India Small Cap Dir Gr
State Bank of India,Financial Services,3594697875.0,3766586000,0.86,5866500,,,/mutual-fund/holding-history/10906/1193/,Nippon India Small Cap Dir Gr
Zydus Wellness Ltd,Consumer Defensive,3557545480.2,3733901000,0.85,2221106,,,/mutual-fund/holding-history/10906/1550/,Nippon India Small Cap Dir Gr
Jio Financial Services Ltd,Financial Services,3837221037.0,3726832000,0.85,15998420,,,/mutual-fund/holding-history/10906/1564869/,Nippon India Small Cap Dir Gr
Radico Khaitan Ltd,Consumer Defensive,3684717607.05,3696085000,0.84,2228907,,,/mutual-fund/holding-history/10906/1090/,Nippon India Small Cap Dir Gr
Timken India Ltd,Industrials,3742805978.2,3688420000,0.84,1134218,,,/mutual-fund/holding-history/10906/1399/,Nippon India Small Cap Dir Gr
Central Depository Services (India) Ltd,Financial Services,3566703401.8,3675909000,0.84,2014859,,,/mutual-fund/holding-history/10906/53219/,Nippon India Small Cap Dir Gr
Carborundum Universal Ltd,Industrials,3753786509.0,3635899000,0.83,3265582,,,/mutual-fund/holding-history/10906/238/,Nippon India Small Cap Dir Gr
Dixon Technologies (India) Ltd,Technology,3232098289.6,3609926000,0.82,549728,,,/mutual-fund/holding-history/10906/60393/,Nippon India Small Cap Dir Gr
K.P.R. Mill Ltd,Consumer Cyclical,3303083404.6,3541379000,0.81,4293622,,,/mutual-fund/holding-history/10906/764/,Nippon India Small Cap Dir Gr
Fine Organic Industries Ltd Ordinary Shares,Basic Materials,3287469416.7,3503488000,0.8,703759,,,/mutual-fund/holding-history/10906/92286/,Nippon India Small Cap Dir Gr
AstraZeneca Pharma India Ltd,Healthcare,3983651163.5,3493668000,0.8,632155,713.0,0.11,/mutual-fund/holding-history/10906/124/,Nippon India Small Cap Dir Gr
Gokaldas Exports Ltd,Consumer Cyclical,3758240808.2,3389311000,0.77,4103779,,,/mutual-fund/holding-history/10906/480/,Nippon India Small Cap Dir Gr
Affle India Ltd,Communication Services,3155993172.3,3379693000,0.77,2587622,,,/mutual-fund/holding-history/10906/154217/,Nippon India Small Cap Dir Gr
Tata Consumer Products Ltd,Consumer Defensive,3511482134.5,3357184000,0.77,3089054,,,/mutual-fund/holding-history/10906/1359/,Nippon India Small Cap Dir Gr
CIE Automotive India Ltd,Consumer Cyclical,3381676953.6,3279265000,0.75,6966784,,,/mutual-fund/holding-history/10906/816/,Nippon India Small Cap Dir Gr
Gland Pharma Ltd,Healthcare,3222560613.65,3265748000,0.75,1696933,,,/mutual-fund/holding-history/10906/338662/,Nippon India Small Cap Dir Gr
Finolex Cables Ltd,Industrials,3336140909.6,3222655000,0.74,3014222,,,/mutual-fund/holding-history/10906/416/,Nippon India Small Cap Dir Gr
Procter & Gamble Health Ltd,Healthcare,3253996168.85,3051807000,0.7,616807,20000.0,3.35,/mutual-fund/holding-history/10906/858/,Nippon India Small Cap Dir Gr
Fusion Micro Finance Ltd,Financial Services,3312610420.8,3046249000,0.7,5284956,-30000.0,-0.56,/mutual-fund/holding-history/10906/755078/,Nippon India Small Cap Dir Gr
Bajaj Electricals Ltd,Consumer Cyclical,3169855899.2,3026245000,0.69,3062071,,,/mutual-fund/holding-history/10906/146/,Nippon India Small Cap Dir Gr
Bank of Baroda,Financial Services,2951650000.0,3004300000,0.69,13000000,,,/mutual-fund/holding-history/10906/162/,Nippon India Small Cap Dir Gr
Praj Industries Ltd,Industrials,2752702210.5,2992185000,0.68,5381627,,,/mutual-fund/holding-history/10906/1061/,Nippon India Small Cap Dir Gr
Vardhman Textiles Ltd,Consumer Cyclical,3074261269.8,2989865000,0.68,7742756,,,/mutual-fund/holding-history/10906/1504/,Nippon India Small Cap Dir Gr
Genus Power Infrastructures Ltd,Industrials,3244497763.8,2985221000,0.68,12867332,28692.0,0.22,/mutual-fund/holding-history/10906/449/,Nippon India Small Cap Dir Gr
Linde India Ltd,Basic Materials,2998871165.85,2959802000,0.68,524769,,,/mutual-fund/holding-history/10906/791/,Nippon India Small Cap Dir Gr
Bayer CropScience Ltd,Basic Materials,3113345826.0,2950586000,0.67,531460,,,/mutual-fund/holding-history/10906/169/,Nippon India Small Cap Dir Gr
TD Power Systems Ltd,Industrials,3060121848.0,2932147000,0.67,11275320,,,/mutual-fund/holding-history/10906/1373/,Nippon India Small Cap Dir Gr
ISGEC Heavy Engineering Ltd,Industrials,3058401150.0,2905067000,0.66,2960125,,,/mutual-fund/holding-history/10906/3892/,Nippon India Small Cap Dir Gr
Apollo Tyres Ltd,Consumer Cyclical,3289027088.0,2885206000,0.66,6354380,6354380.0,New,/mutual-fund/holding-history/10906/94/,Nippon India Small Cap Dir Gr
RITES Ltd Ordinary Shares,Industrials,3869844767.25,2839299000,0.65,5651471,,,/mutual-fund/holding-history/10906/92280/,Nippon India Small Cap Dir Gr
Zensar Technologies Ltd,Technology,2591775000.0,2747925000,0.63,4500000,,,/mutual-fund/holding-history/10906/1544/,Nippon India Small Cap Dir Gr
Century Textiles & Industries Ltd,Basic Materials,2915924297.0,2649865000,0.6,2167490,,,/mutual-fund/holding-history/10906/253/,Nippon India Small Cap Dir Gr
Sapphire Foods India Ltd,Consumer Cyclical,2611040474.7,2604169000,0.59,1832502,,,/mutual-fund/holding-history/10906/716755/,Nippon India Small Cap Dir Gr
